Id_bien;id_codedep_codecommune;No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
27754;83009;71;;CHE;DE L ESCOURCHE;2;35;38;Appartement
27755;83011;5307;;PL;PHILIPPE CHAUVIER;1;39,38;29;Appartement
27756;83068;6459;;;SAINT PONS;1;31,06;31;Appartement
27757;83069;18;;AV;DE BELGIQUE;3;86,18;87;Appartement
27758;83069;3;;CHE;DU MARTINET;2;61,75;57;Appartement
27759;83069;24;;AV;1ERE DIVISION BROSSET;3;73,09;70;Appartement
27760;83069;120;;RUE;DE L HIPPODROME;1;20,35;20;Appartement
27761;83069;39;;AV;DE LA SABLIERE CAPTE;1;19,94;14;Appartement
27762;83112;6;;IMP;DU VALLAT;2;44;44;Appartement
27763;83126;158;;BD;ETIENNE PEYRE;4;64,02;63;Appartement
27764;83126;1133;;RTE;ANC COMBATTANTS INDOCHINE;4;76,9;76;Appartement
27765;83126;210;;;IMP GRIFFA;3;56,25;56;Appartement
27766;83137;10;;RUE;LAMARTINE;1;23,11;24;Appartement
27767;84007;66;;RUE;DES INFIRMIERES;1;19,31;21;Appartement
27768;84035;124;;CHE;DONNE;2;37,15;37;Appartement
27769;84037;14;;RUE;DU RESERVOIR;3;68,9;68;Appartement
27770;87085;20;;ALL;DES FRENES;4;88,78;83;Maison
27771;88160;15;;RUE;GENERAL LECLERC;2;44,15;42;Appartement
27772;88262;7;;RUE;DE LA VOLOGNE;2;46,39;52;Appartement
27773;91021;18;;BD;ERNEST GIRAULT;3;51,3;48;Appartement
27774;91021;1;;RUE;DES GROUAISONS;4;91,76;92;Maison
27775;91103;10;;RUE;DES MELEZES;4;91,74;100;Maison
27776;91103;10;;RUE;ANATOLE FRANCE;2;40,29;42;Appartement
27777;91114;6;;PL;SAINT MEDARD;2;47,6;48;Appartement
27778;91114;54;;RUE;DE MONTGERON;2;60,06;57;Appartement
27779;91135;5;;RUE;DE LA MARIVOISE;5;93,48;93;Maison
27780;91174;34;;RUE;DE SEINE;3;72,3;72;Appartement
27781;91201;212;;BD;HENRI BARBUSSE;4;83,94;83;Appartement
27782;91223;2;;RUE;DE LA ROCHE PLATE;3;56,25;62;Appartement
27783;91228;4;;RUE;DE L ECOLE;2;47,39;47;Appartement
27784;91339;114;;RUE;DE LA DIVISION LECLERC;1;16,35;30;Appartement
27785;91345;10;B;RUE;DE L'YVETTE;3;64,31;64;Appartement
27786;91386;31;;RUE;LA FONTAINE;1;28;27;Appartement
27787;91425;1;B;RTE;DE MARCOUSSIS;2;40,47;50;Appartement
27788;91433;2;A;RUE;DE LA GRANGE DES NOYERS;2;50,21;44;Appartement
27789;91471;34;;AV;SAINT LAURENT;3;64,14;62;Appartement
27790;91477;114;;RUE;DE PARIS;2;48,23;49;Appartement
27791;91549;4;;ALL;DES CHARMES;3;62,25;67;Appartement
27792;91579;3;;RUE;DES NOBLETS;1;31,42;31;Appartement
27793;91645;4;;RUE;DE PARON;3;93,48;95;Appartement
27794;91691;111;;RUE;CHARLES DE GAULLE;3;47,78;47;Appartement
27795;92002;91;;RUE;DU COLONEL FABIEN;1;24,82;25;Appartement
27796;92002;110;;AV;ARMAND GUILLEBAUD;1;16,37;18;Appartement
27797;92019;368;;AV;DE LA DIVISION LECLERC;4;76,7;77;Appartement
27798;92024;2;;VLA;JEAN JAURES;2;37,19;32;Appartement
27799;92024;9;;RUE;HENRI BARBUSSE;1;25,45;26;Appartement
27800;92024;11;;ALL;LEON GAMBETTA;4;76,43;80;Appartement
27801;92024;83;;BD;VICTOR HUGO;2;31,59;33;Appartement
27802;92026;51;;AV;PASTEUR;3;30;56;Appartement
27803;92026;43;;RUE;DU 22 SEPTEMBRE;3;51,32;46;Appartement
27804;92026;5;;RUE;LYAUTEY;3;56,2;58;Appartement
27805;92026;43;;RUE;DE NORMANDIE;5;83,97;81;Appartement
27806;92026;8;;RUE;HENRI REGNAULT;3;80;79;Appartement
27807;92040;67;B;RUE;DU GOUVERNEUR GAL EBOUE;1;18,51;20;Appartement
27808;92044;73;;RUE;P VAILLANT COUTURIER;1;30,29;30;Appartement
27809;92044;53;;RUE;JULES GUESDE;3;42,59;42;Appartement
27810;92050;194;;RUE;PAUL VAILLANT-COUTURIER;1;23,81;23;Appartement
27811;92050;1;;RUE;GAMBETTA;2;49,2;48;Appartement
27812;92051;15;;RUE;GARNIER;1;12,2;12;Appartement
27813;92051;135;;BD;BINEAU;4;81,14;75;Appartement
27814;92060;2;;AV;CHARLES DE GAULLE;3;71,14;70;Appartement
