product_id;onsale_web;price;stock_quantity;stock_status;purchase_price
4270;1;15,5;22;instock;8,25
4271;1;16,6;23;instock;8,32
4272;1;9,2;26;instock;4,85
4274;1;12,9;0;outofstock;6,33
4275;1;14,9;62;instock;7,78
4276;1;17,6;17;instock;9,46
4277;1;24,8;28;instock;12,69
4278;0;21,5;0;outofstock;10,78
4279;0;10,8;0;outofstock;5,64
4280;1;18,9;37;instock;9,57
4281;1;11,6;30;instock;5,69
4283;1;27;0;outofstock;13,25
4285;1;41;5;instock;22,03
4286;1;69,8;6;instock;36,06
4287;1;38,6;8;instock;20,34
4288;1;26,7;26;instock;14,48
4289;0;22,8;0;outofstock;11,9
4297;1;19;33;instock;10,31
4298;1;23,2;17;instock;11,99
4299;1;39,1;10;instock;19,19
4300;1;44;2;instock;23,42
4301;1;17,5;19;instock;9,49
4303;1;30;15;instock;15,19
4304;1;8,1;45;instock;4,19
4306;1;10,7;52;instock;5,31
4307;1;10,9;37;instock;5,8
4334;1;49;142;instock;30,01
4336;1;35,5;73;instock;21,12
4337;1;83;145;instock;48,9
4348;1;59;125;instock;34,76
4350;1;79,5;145;instock;47,3
4352;1;225;0;outofstock;137,81
4353;1;79,5;127;instock;45,91
4355;1;12,65;97;instock;77,48
4356;1;51,6;81;instock;31
4357;1;39;115;instock;22,3
4358;1;77;81;instock;47,16
4359;1;85,6;112;instock;51,93
4364;1;49,5;4;instock;23,6
4391;1;49,5;7;instock;22,01
4392;1;49,5;3;instock;22,01
4393;1;57;5;instock;26,13
4394;1;59,8;3;instock;27,96
4395;1;27,5;9;instock;13,11
4396;1;62;0;outofstock;28,42
4397;1;59;5;instock;27,31
4398;1;59;10;instock;28,39
4399;1;59;10;instock;28,12
4400;1;44;12;instock;21,18
4401;1;62,5;5;instock;27,21
4402;1;176;11;instock;78,25
4404;1;108,5;17;instock;52,22
4405;1;68,1;15;instock;32,46
4406;1;157;12;instock;69,08
4407;1;104;14;instock;46,71
4558;1;28,1;23;instock;15,24
4564;1;21,7;28;instock;11,66
