Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1457934.562","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","7494.578","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","686.607","X","Figure from international organizations",""
"OA","Annual population","156","China, mainland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1425893.465","X","Figure from international organizations",""
"OA","Annual population","158","China, Taiwan Province of","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","23859.912","X","Figure from international organizations",""
"OA","Annual population","170","Colombia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","51516.562","X","Figure from international organizations",""
"OA","Annual population","174","Comoros","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","821.625","X","Figure from international organizations",""
"OA","Annual population","178","Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","5835.806","X","Figure from international organizations",""
"OA","Annual population","184","Cook Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","17.003","X","Figure from international organizations",""
"OA","Annual population","188","Costa Rica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","5153.957","X","Figure from international organizations",""
"OA","Annual population","384","Côte d'Ivoire","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","27478.249","X","Figure from international organizations",""
"OA","Annual population","191","Croatia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","4060.135","X","Figure from international organizations",""
"OA","Annual population","192","Cuba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","11256.372","X","Figure from international organizations",""
"OA","Annual population","531","Curaçao","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","190.338","X","Figure from international organizations",""
"OA","Annual population","196","Cyprus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1244.188","X","Figure from international organizations",""
"OA","Annual population","203","Czechia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","10510.751","X","Figure from international organizations",""
"OA","Annual population","408","Democratic People's Republic of Korea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","25971.909","X","Figure from international organizations",""
"OA","Annual population","180","Democratic Republic of the Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","95894.118","X","Figure from international organizations",""
"OA","Annual population","208","Denmark","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","5854.24","X","Figure from international organizations",""
"OA","Annual population","262","Djibouti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1105.557","X","Figure from international organizations",""
"OA","Annual population","212","Dominica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","72.412","X","Figure from international organizations",""
"OA","Annual population","214","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","11117.873","X","Figure from international organizations",""
"OA","Annual population","218","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","17797.737","X","Figure from international organizations",""
"OA","Annual population","818","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","109262.178","X","Figure from international organizations",""
"OA","Annual population","222","El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","6314.167","X","Figure from international organizations",""
"OA","Annual population","226","Equatorial Guinea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1634.466","X","Figure from international organizations",""
"OA","Annual population","232","Eritrea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","3620.312","X","Figure from international organizations",""
"OA","Annual population","233","Estonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1328.701","X","Figure from international organizations",""
"OA","Annual population","748","Eswatini","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1192.271","X","Figure from international organizations",""
"OA","Annual population","231","Ethiopia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","120283.026","X","Figure from international organizations",""
"OA","Annual population","238","Falkland Islands (Malvinas)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","3.764","X","Figure from international organizations",""
"OA","Annual population","234","Faroe Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","52.889","X","Figure from international organizations",""
"OA","Annual population","242","Fiji","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","924.61","X","Figure from international organizations",""
