Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","148","Chad","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.882","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","152","Chile","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.765","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","344","China, Hong Kong SAR","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.034","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","156","China, mainland","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.672","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","158","China, Taiwan Province of","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.911","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","170","Colombia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.798","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","178","Congo","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.633","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","188","Costa Rica","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.863","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","384","Côte d'Ivoire","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.111","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","191","Croatia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.955","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","531","Curaçao","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.673","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","196","Cyprus","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.697","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","203","Czechia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","180","Democratic Republic of the Congo","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.207","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","208","Denmark","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.498","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","262","Djibouti","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.988","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","212","Dominica","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.841","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","214","Dominican Republic","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.898","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","218","Ecuador","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.753","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","818","Egypt","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.209","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","226","Equatorial Guinea","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.804","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","233","Estonia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.752","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","748","Eswatini","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.136","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","231","Ethiopia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.882","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","242","Fiji","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.001","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","246","Finland","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.543","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","250","France","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.64","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","266","Gabon","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.735","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","270","Gambia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.589","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","276","Germany","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.666","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","288","Ghana","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.235","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","300","Greece","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.797","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","308","Grenada","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.335","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","324","Guinea","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.559","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","624","Guinea-Bissau","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.569","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","328","Guyana","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.922","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","332","Haiti","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.583","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","340","Honduras","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.083","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","348","Hungary","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.805","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","352","Iceland","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.596","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","356","India","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.892","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","360","Indonesia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.929","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","364","Iran (Islamic Republic of)","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.704","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","368","Iraq","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.999","E","Estimated value"
